source_file,identifier,title,creation_date,source_url,description,creators,location,medium,subjects,type,rights,image_url
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.18402.json,2013646484,"Interior of the Hutzler Reading room located in Gilman Hall, on the Johns Hopkins University campus in Baltimore, Maryland",['2012 September.'],https://www.loc.gov/item/2013646484/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['maryland', 'baltimore', 'united states']",['Digital photographs--Color--2010-2020'],"['United States--Maryland--Baltimore', 'America', 'Albert D. Hutzler Reading Room', 'Gilman Hall', 'Homewood campus', 'Johns Hopkins Sheridan Libraries', 'Libraries', 'The HUT']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.20216.json,2012631625,"Norfolk Library, Norfolk, Connecticut",['2011 October.'],https://www.loc.gov/item/2012631625/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['united states', 'norfolk', 'connecticut']",['Digital photographs--Color--2010-2020'],"['United States--Connecticut--Norfolk', 'America', 'The Norfolk Library']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.20336.json,2012630017,"Noyes Library for Young Children, Kensington, Maryland",['2011 September.'],https://www.loc.gov/item/2012630017/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['maryland', 'united states', 'kensington']",['Digital photographs--Color--2010-2020'],"['United States--Maryland--Kensington', 'America', 'Libraries']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.20483.json,2012630164,"Patterson Park Branch of the Enoch Pratt Free Library System located on the eastern side of Library Square, Baltimore, Maryland",['2011 October.'],https://www.loc.gov/item/2012630164/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['baltimore', 'maryland', 'united states']",['Digital photographs--Color--2010-2020'],"['United States--Maryland--Baltimore', 'America', 'Enoch Pratt', 'Libraries']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.20497.json,2012630178,"Handley Library, Winchester, Virginia",['2011 September.'],https://www.loc.gov/item/2012630178/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['winchester', 'united states', 'virginia']",['Digital photographs--Color--2010-2020'],"['United States--Virginia--Winchester', 'Handley Library', 'America', 'Libraries']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:20400:20497/full/pct:50/0/default.jpg#h=2395&w=2053
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.24333.json,2013631511,"Tower of the Central Library, Los Angeles, California",['2013.'],https://www.loc.gov/item/2013631511/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['california', 'los angeles', 'united states']",['Digital photographs--Color--2010-2020'],"['United States--California--Los Angeles', 'Los Angeles Central Library', 'Libraries', 'America']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.29207.json,2014633407,"The easily identifiable (thanks to its huge artistic sign) downtown J. Erik Jonsson Central Library, across from City Hall",['2014-05-25.'],https://www.loc.gov/item/2014633407/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['united states', 'dallas', 'texas']",['Digital photographs--Color--2010-2020'],"['United States--Texas--Dallas', 'J. Erik Jonsson Central Library', 'Libraries', 'Dallas Central Library', 'America']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.31350.json,2015631425,"The public library in Shepherdstown, West Virginia",['2015-04-29.'],https://www.loc.gov/item/2015631425/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['united states', 'west virginia', 'shepherdstown']",['Digital photographs--Color--2010-2020'],"['United States--West Virginia--Shepherdstown', 'America', 'Shepherdstown Public Library', 'Public libraries', 'Libraries', 'Shepherdstown Market House', 'Odd Fellows']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.32720.json,2015632735,"Dusk view of the Robert Hoag Rawlings Public Library, built from 2000 to 2003 in Pueblo, Colorado",['2015-05-23.'],https://www.loc.gov/item/2015632735/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['pueblo', 'united states', 'colorado']",['Digital photographs--Color--2010-2020'],"['United States--Colorado--Pueblo', 'America', 'Robert Hoag Rawlings', 'Robert Hoag Rawlings Public Library', 'Public libraries', 'Libraries', 'Antoine Predock', 'Dusk shots']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.34640.json,2017685123,"The Guernsey Branch Library, part of the Platte County library system, in Guernsey, a town in northeast Wyoming",['2015-09-07.'],https://www.loc.gov/item/2017685123/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['platte county', 'united states', 'guernsey', 'wyoming']",['Digital photographs--Color--2010-2020'],"['United States--Wyoming--Platte County--Guernsey', 'America', 'Guernsey Branch Library', 'Public libraries', 'Libraries']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
